datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,PJME,24637
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,PJMW,4719
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,AEP,12490
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,DUQ,1286
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,DOM,9576
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,COMED,9370
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,DAYTON,1597
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,FE,6187
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,DEOK,2517
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,EKPC,1367
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,PJME,24615
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,PJMW,4721
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,AEP,12646
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,DUQ,1304
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,DOM,9728
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,COMED,9322
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,DAYTON,1639
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,FE,6281
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,DEOK,2573
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,EKPC,1361
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,PJME,24973
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,PJMW,4784
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,AEP,12936
